中島敦  山月記	OH_SC青空文庫	1230	1240	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦  山月記	OH_SC青空文庫	1240	1260	I	耽っ	耽る	フケル	動詞-一般	五段-ラ行	連用形-促音便	フケッ	和
中島敦  山月記	OH_SC青空文庫	1260	1270	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
中島敦  山月記	OH_SC青空文庫	1270	1280	I	。	。		補助記号-句点				記号
中島敦  山月記	OH_SC青空文庫	1280	1300	B	下吏	下吏	カリ	名詞-普通名詞-一般			カリ	漢
中島敦  山月記	OH_SC青空文庫	1300	1310	I	と	と	ト	助詞-格助詞			ト	和
中島敦  山月記	OH_SC青空文庫	1310	1330	I	なっ	成る	ナル	動詞-非自立可能	五段-ラ行	連用形-促音便	ナッ	和
中島敦  山月記	OH_SC青空文庫	1330	1340	I	て	て	テ	助詞-接続助詞			テ	和
中島敦  山月記	OH_SC青空文庫	1340	1360	I	長く	長い	ナガイ	形容詞-一般	形容詞	連用形-一般	ナガク	和
中島敦  山月記	OH_SC青空文庫	1360	1370	I	膝	膝	ヒザ	名詞-普通名詞-一般			ヒザ	和
中島敦  山月記	OH_SC青空文庫	1370	1380	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦  山月記	OH_SC青空文庫	1380	1400	I	俗悪	俗悪	ゾクアク	名詞-普通名詞-形状詞可能			ゾクアク	漢
中島敦  山月記	OH_SC青空文庫	1400	1410	I	な	だ	ダ	助動詞	助動詞-ダ	連体形-一般	ナ	和
中島敦  山月記	OH_SC青空文庫	1410	1430	I	大官	大官	タイカン	名詞-普通名詞-一般			タイカン	漢
中島敦  山月記	OH_SC青空文庫	1430	1440	I	の	の	ノ	助詞-格助詞			ノ	和
中島敦  山月記	OH_SC青空文庫	1440	1450	I	前	前	マエ	名詞-普通名詞-副詞可能			マエ	和
中島敦  山月記	OH_SC青空文庫	1450	1460	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦  山月記	OH_SC青空文庫	1460	1490	I	屈する	屈する	クッスル	動詞-一般	サ行変格	連体形-一般	クッスル	混
中島敦  山月記	OH_SC青空文庫	1490	1510	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
中島敦  山月記	OH_SC青空文庫	1510	1520	I	は	は	ハ	助詞-係助詞			ワ	和
中島敦  山月記	OH_SC青空文庫	1520	1530	I	、	、		補助記号-読点				記号
中島敦  山月記	OH_SC青空文庫	1530	1550	I	詩家	詩家	シカ	名詞-普通名詞-一般			シカ	漢
中島敦  山月記	OH_SC青空文庫	1550	1560	I	と	と	ト	助詞-格助詞			ト	和
中島敦  山月記	OH_SC青空文庫	1560	1570	I	し	為る	スル	動詞-非自立可能	サ行変格	連用形-一般	シ	和
中島敦  山月記	OH_SC青空文庫	1570	1580	I	て	て	テ	助詞-接続助詞			テ	和
中島敦  山月記	OH_SC青空文庫	1580	1590	I	の	の	ノ	助詞-格助詞			ノ	和
中島敦  山月記	OH_SC青空文庫	1590	1600	I	名	名	ナ	名詞-普通名詞-一般			ナ	和
中島敦  山月記	OH_SC青空文庫	1600	1610	I	を	を	ヲ	助詞-格助詞			オ	和
中島敦  山月記	OH_SC青空文庫	1610	1630	I	死後	死後	シゴ	名詞-普通名詞-副詞可能			シゴ	漢
中島敦  山月記	OH_SC青空文庫	1630	1640	I	百	百	ヒャク	名詞-数詞			ヒャク	漢
中島敦  山月記	OH_SC青空文庫	1640	1650	I	年	年	ネン	名詞-普通名詞-助数詞可能			ネン	漢
中島敦  山月記	OH_SC青空文庫	1650	1660	I	に	に	ニ	助詞-格助詞			ニ	和
中島敦  山月記	OH_SC青空文庫	1660	1690	I	遺そう	残す	ノコス	動詞-一般	五段-サ行	意志推量形	ノコソー	和
中島敦  山月記	OH_SC青空文庫	1690	1700	I	と	と	ト	助詞-格助詞			ト	和
中島敦  山月記	OH_SC青空文庫	1700	1710	I	し	為る	スル	動詞-非自立可能	サ行変格	連用形-一般	シ	和
中島敦  山月記	OH_SC青空文庫	1710	1720	I	た	た	タ	助動詞	助動詞-タ	連体形-一般	タ	和
中島敦  山月記	OH_SC青空文庫	1720	1730	I	の	の	ノ	助詞-準体助詞			ノ	和
中島敦  山月記	OH_SC青空文庫	1730	1740	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
