芥川龍之介 芋粥_S001	OH_SC青空文庫	1030	1040	I	の	の	ノ	助詞-準体助詞			ノ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1040	1050	I	で	だ	ダ	助動詞	助動詞-ダ	連用形-一般	デ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1050	1070	I	ある	有る	アル	動詞-非自立可能	五段-ラ行	終止形-一般	アル	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1070	1080	I	。	。		補助記号-句点				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	1080	1090	B	—	—		補助記号-一般				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	1090	1100	I	—	—		補助記号-一般				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	1100	1120	I	その	其の	ソノ	連体詞			ソノ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1120	1130	I	頃	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1130	1140	I	、	、		補助記号-読点				記号
芥川龍之介 芋粥_S001	OH_SC青空文庫	1140	1160	I	摂政	摂政	セッショウ	名詞-普通名詞-一般			セッショー	漢
芥川龍之介 芋粥_S001	OH_SC青空文庫	1160	1180	I	藤原	フジワラ	フジワラ	名詞-固有名詞-人名-姓			フジワラノ	固
芥川龍之介 芋粥_S001	OH_SC青空文庫	1180	1200	I	基経	モトツネ	モトツネ	名詞-固有名詞-人名-名			モトツネ	固
芥川龍之介 芋粥_S001	OH_SC青空文庫	1200	1210	I	に	に	ニ	助詞-格助詞			ニ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1210	1230	I	仕へ	仕える	ツカエル	動詞-一般	下一段-ア行	連用形-一般	ツカエ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1230	1240	I	て	て	テ	助詞-接続助詞			テ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1240	1260	I	ゐる	居る	イル	動詞-非自立可能	上一段-ア行	連体形-一般	イル	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1260	1270	I	侍	侍	サムライ	名詞-普通名詞-一般			サムライ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1270	1280	I	の	の	ノ	助詞-格助詞			ノ	和
芥川龍之介 芋粥_S001	OH_SC青空文庫	1280	1290	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
