新美南吉 手袋を買いに	OH_SC青空文庫	1200	1210	B	と	と	ト	助詞-格助詞			ト	和
新美南吉 手袋を買いに	OH_SC青空文庫	1210	1230	I	言い	言う	イウ	動詞-一般	五段-ワア行	連用形-一般	イー	和
新美南吉 手袋を買いに	OH_SC青空文庫	1230	1250	I	まし	ます	マス	助動詞	助動詞-マス	連用形-一般	マシ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1250	1260	I	た	た	タ	助動詞	助動詞-タ	終止形-一般	タ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1260	1270	I	。	。		補助記号-句点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1270	1280	B	母	母	カア	名詞-普通名詞-一般			カー	和
新美南吉 手袋を買いに	OH_SC青空文庫	1280	1300	I	さん	さん	サン	接尾辞-名詞的-一般			サン	和
新美南吉 手袋を買いに	OH_SC青空文庫	1300	1310	I	狐	狐	キツネ	名詞-普通名詞-一般			ギツネ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1310	1320	I	が	が	ガ	助詞-格助詞			ガ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1320	1360	I	びっくり	びっくり	ビックリ	名詞-普通名詞-サ変可能			ビックリ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1360	1370	I	し	為る	スル	動詞-非自立可能	サ行変格	連用形-一般	シ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1370	1380	I	て	て	テ	助詞-接続助詞			テ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1380	1390	I	、	、		補助記号-読点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1390	1460	I	あわてふためき	慌てふためく	アワテフタメク	動詞-一般	五段-カ行	連用形-一般	アワテフタメキ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1460	1490	I	ながら	ながら	ナガラ	助詞-接続助詞			ナガラ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1490	1500	I	、	、		補助記号-読点				記号
新美南吉 手袋を買いに	OH_SC青空文庫	1500	1510	I	眼	目	メ	名詞-普通名詞-一般			メ	和
新美南吉 手袋を買いに	OH_SC青空文庫	1510	1520	I	を	を	ヲ	助詞-格助詞			オ	和
